doc_id,arxiv_id,pdf_filename,pdf_url,file_exists,file_size_kb,query_count,sample_query,document_type
2403.14207v3,Distractor:2403.14207v3,2403.14207v3.pdf,N/A (Distractor),True,390.7,0,N/A (Distractor),distractor
2402.01020v2,Distractor:2402.01020v2,2402.01020v2.pdf,N/A (Distractor),True,552.1,0,N/A (Distractor),distractor
2411.15447v4,Distractor:2411.15447v4,2411.15447v4.pdf,N/A (Distractor),True,5254.6,0,N/A (Distractor),distractor
2406.15998v3,Distractor:2406.15998v3,2406.15998v3.pdf,N/A (Distractor),True,5705.6,0,N/A (Distractor),distractor
2406.16208v6,Distractor:2406.16208v6,2406.16208v6.pdf,N/A (Distractor),True,504.6,0,N/A (Distractor),distractor
2405.13609v3,Distractor:2405.13609v3,2405.13609v3.pdf,N/A (Distractor),True,3532.2,0,N/A (Distractor),distractor
2411.08547v4,Distractor:2411.08547v4,2411.08547v4.pdf,N/A (Distractor),True,349.5,0,N/A (Distractor),distractor
2408.11362v3,Distractor:2408.11362v3,2408.11362v3.pdf,N/A (Distractor),True,471.9,0,N/A (Distractor),distractor
2406.15596v2,Distractor:2406.15596v2,2406.15596v2.pdf,N/A (Distractor),True,1655.1,0,N/A (Distractor),distractor
2409.16937v3,Distractor:2409.16937v3,2409.16937v3.pdf,N/A (Distractor),True,499.7,0,N/A (Distractor),distractor
2501.00542v5,Distractor:2501.00542v5,2501.00542v5.pdf,N/A (Distractor),True,407.6,0,N/A (Distractor),distractor
2405.00581v2,Distractor:2405.00581v2,2405.00581v2.pdf,N/A (Distractor),True,11982.9,0,N/A (Distractor),distractor
2410.00332v6,Distractor:2410.00332v6,2410.00332v6.pdf,N/A (Distractor),True,19063.9,0,N/A (Distractor),distractor
2410.21204v3,Distractor:2410.21204v3,2410.21204v3.pdf,N/A (Distractor),True,715.5,0,N/A (Distractor),distractor
2404.14137v2,Distractor:2404.14137v2,2404.14137v2.pdf,N/A (Distractor),True,154.5,0,N/A (Distractor),distractor
2401.01473v3,Distractor:2401.01473v3,2401.01473v3.pdf,N/A (Distractor),True,958.2,0,N/A (Distractor),distractor
2403.12367v2,Distractor:2403.12367v2,2403.12367v2.pdf,N/A (Distractor),True,1399.8,0,N/A (Distractor),distractor
2410.06317v2,Distractor:2410.06317v2,2410.06317v2.pdf,N/A (Distractor),True,8386.8,0,N/A (Distractor),distractor
2410.17351v3,Distractor:2410.17351v3,2410.17351v3.pdf,N/A (Distractor),True,926.9,0,N/A (Distractor),distractor
2411.11126v2,Distractor:2411.11126v2,2411.11126v2.pdf,N/A (Distractor),True,4781.7,0,N/A (Distractor),distractor
2408.01882v3,Distractor:2408.01882v3,2408.01882v3.pdf,N/A (Distractor),True,566.6,0,N/A (Distractor),distractor
2410.14046v2,Distractor:2410.14046v2,2410.14046v2.pdf,N/A (Distractor),True,1284.1,0,N/A (Distractor),distractor
2404.15478v4,Distractor:2404.15478v4,2404.15478v4.pdf,N/A (Distractor),True,2950.5,0,N/A (Distractor),distractor
2412.00549v1,Distractor:2412.00549v1,2412.00549v1.pdf,N/A (Distractor),True,612.7,0,N/A (Distractor),distractor
2405.06836v2,Distractor:2405.06836v2,2405.06836v2.pdf,N/A (Distractor),True,7363.2,0,N/A (Distractor),distractor
2410.22502v3,Distractor:2410.22502v3,2410.22502v3.pdf,N/A (Distractor),True,573.2,0,N/A (Distractor),distractor
2410.01037v3,Distractor:2410.01037v3,2410.01037v3.pdf,N/A (Distractor),True,596.1,0,N/A (Distractor),distractor
2402.18170v5,Distractor:2402.18170v5,2402.18170v5.pdf,N/A (Distractor),True,613.3,0,N/A (Distractor),distractor
2401.08052v3,Distractor:2401.08052v3,2401.08052v3.pdf,N/A (Distractor),True,1294.7,0,N/A (Distractor),distractor
2412.07416v2,Distractor:2412.07416v2,2412.07416v2.pdf,N/A (Distractor),True,1085.4,0,N/A (Distractor),distractor
2404.11841v5,Distractor:2404.11841v5,2404.11841v5.pdf,N/A (Distractor),True,453.8,0,N/A (Distractor),distractor
2408.05747v2,Distractor:2408.05747v2,2408.05747v2.pdf,N/A (Distractor),True,820.3,0,N/A (Distractor),distractor
2411.05809v3,Distractor:2411.05809v3,2411.05809v3.pdf,N/A (Distractor),True,4044.6,0,N/A (Distractor),distractor
2410.06580v4,Distractor:2410.06580v4,2410.06580v4.pdf,N/A (Distractor),True,2885.7,0,N/A (Distractor),distractor
2411.11513v2,Distractor:2411.11513v2,2411.11513v2.pdf,N/A (Distractor),True,773.0,0,N/A (Distractor),distractor
2410.21591v2,Distractor:2410.21591v2,2410.21591v2.pdf,N/A (Distractor),True,3043.9,0,N/A (Distractor),distractor
2411.14330v2,Distractor:2411.14330v2,2411.14330v2.pdf,N/A (Distractor),True,865.1,0,N/A (Distractor),distractor
2402.16362v3,Distractor:2402.16362v3,2402.16362v3.pdf,N/A (Distractor),True,459.2,0,N/A (Distractor),distractor
2411.12479v2,Distractor:2411.12479v2,2411.12479v2.pdf,N/A (Distractor),True,515.6,0,N/A (Distractor),distractor
2406.03456v2,Distractor:2406.03456v2,2406.03456v2.pdf,N/A (Distractor),True,1660.5,0,N/A (Distractor),distractor
2412.13682v4,Distractor:2412.13682v4,2412.13682v4.pdf,N/A (Distractor),True,9649.3,0,N/A (Distractor),distractor
2411.10729v3,Distractor:2411.10729v3,2411.10729v3.pdf,N/A (Distractor),True,5442.6,0,N/A (Distractor),distractor
2412.18154v1,Distractor:2412.18154v1,2412.18154v1.pdf,N/A (Distractor),True,1694.2,0,N/A (Distractor),distractor
2410.18939v2,Distractor:2410.18939v2,2410.18939v2.pdf,N/A (Distractor),True,582.3,0,N/A (Distractor),distractor
2412.15010v2,Distractor:2412.15010v2,2412.15010v2.pdf,N/A (Distractor),True,1067.1,0,N/A (Distractor),distractor
2412.19236v2,Distractor:2412.19236v2,2412.19236v2.pdf,N/A (Distractor),True,461.5,0,N/A (Distractor),distractor
2412.14370v3,Distractor:2412.14370v3,2412.14370v3.pdf,N/A (Distractor),True,335.0,0,N/A (Distractor),distractor
2408.09742v2,Distractor:2408.09742v2,2408.09742v2.pdf,N/A (Distractor),True,1470.8,0,N/A (Distractor),distractor
2404.13484v2,Distractor:2404.13484v2,2404.13484v2.pdf,N/A (Distractor),True,11890.9,0,N/A (Distractor),distractor
2411.06327v2,Distractor:2411.06327v2,2411.06327v2.pdf,N/A (Distractor),True,921.2,0,N/A (Distractor),distractor
2410.02082v3,Distractor:2410.02082v3,2410.02082v3.pdf,N/A (Distractor),True,1624.1,0,N/A (Distractor),distractor
2412.16657v2,Distractor:2412.16657v2,2412.16657v2.pdf,N/A (Distractor),True,627.5,0,N/A (Distractor),distractor
2409.07151v2,Distractor:2409.07151v2,2409.07151v2.pdf,N/A (Distractor),True,721.3,0,N/A (Distractor),distractor
2409.09529v3,Distractor:2409.09529v3,2409.09529v3.pdf,N/A (Distractor),True,221.6,0,N/A (Distractor),distractor
2411.03892v3,Distractor:2411.03892v3,2411.03892v3.pdf,N/A (Distractor),True,1227.3,0,N/A (Distractor),distractor
2404.11709v4,Distractor:2404.11709v4,2404.11709v4.pdf,N/A (Distractor),True,548.8,0,N/A (Distractor),distractor
2406.01661v3,Distractor:2406.01661v3,2406.01661v3.pdf,N/A (Distractor),True,3030.5,0,N/A (Distractor),distractor
2403.15262v5,Distractor:2403.15262v5,2403.15262v5.pdf,N/A (Distractor),True,1510.4,0,N/A (Distractor),distractor
2407.04232v1,Distractor:2407.04232v1,2407.04232v1.pdf,N/A (Distractor),True,15555.7,0,N/A (Distractor),distractor
2407.00961v3,Distractor:2407.00961v3,2407.00961v3.pdf,N/A (Distractor),True,838.1,0,N/A (Distractor),distractor
2412.13172v1,Distractor:2412.13172v1,2412.13172v1.pdf,N/A (Distractor),True,295.1,0,N/A (Distractor),distractor
2402.18784v2,Distractor:2402.18784v2,2402.18784v2.pdf,N/A (Distractor),True,4664.2,0,N/A (Distractor),distractor
